,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_delta,param_feature_subsampling_pct,param_max_depth,param_min_samples,param_n_trees,param_window,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
49,2.35538864,0.0533552277,0.01876871,0.000230945149,0.075,0.2447272462757488,3,3,73,4,"{'delta': 0.075, 'feature_subsampling_pct': 0.2447272462757488, 'max_depth': 3, 'min_samples': 3, 'n_trees': 73, 'window': 4}",0.10621936,0.08390202,0.13949199,0.10987112,0.0228409415,93
50,150.65979393,7.90487227,0.0504938,0.00200719452,inv,0.9950117163497386,5,2,87,sqrt,"{'delta': 'inv', 'feature_subsampling_pct': 0.9950117163497386, 'max_depth': 5, 'min_samples': 2, 'n_trees': 87, 'window': 'sqrt'}",0.49055033,0.49241707,0.48809288,0.49035343,0.00177082306,7
51,11.32031552,0.0611567488,0.01650961,0.000236025108,0.175,0.39285972834334093,5,9,27,4,"{'delta': 0.175, 'feature_subsampling_pct': 0.39285972834334093, 'max_depth': 5, 'min_samples': 9, 'n_trees': 27, 'window': 4}",0.3942483,0.44316325,0.40998186,0.4157978,0.0203885092,21
52,32.889774,0.874199495,0.04795798,0.00144842274,0.05,0.37725471266715027,5,5,78,4,"{'delta': 0.05, 'feature_subsampling_pct': 0.37725471266715027, 'max_depth': 5, 'min_samples': 5, 'n_trees': 78, 'window': 4}",0.34165262,0.31922311,0.33355526,0.331477,0.00927398437,48
53,10.87018466,0.34158579,0.01612631,0.000342338437,0.175,0.3386821309135529,3,7,57,16,"{'delta': 0.175, 'feature_subsampling_pct': 0.3386821309135529, 'max_depth': 3, 'min_samples': 7, 'n_trees': 57, 'window': 16}",0.43883577,0.46345082,0.44764907,0.44997855,0.0101831548,14
54,19.9161574,0.35767874,0.01748761,0.000142599736,0.1,0.902841899659402,4,4,40,sqrt,"{'delta': 0.1, 'feature_subsampling_pct': 0.902841899659402, 'max_depth': 4, 'min_samples': 4, 'n_trees': 40, 'window': 'sqrt'}",0.40852244,0.42336499,0.4486681,0.42685184,0.016573818,17
55,2.77316006,0.00734556558,0.01448917,0.000176824095,0.125,0.7020316536967897,2,6,80,4,"{'delta': 0.125, 'feature_subsampling_pct': 0.7020316536967897, 'max_depth': 2, 'min_samples': 6, 'n_trees': 80, 'window': 4}",0.35033516,0.33829356,0.34039484,0.34300785,0.00525172306,44
56,0.68633779,0.017006847,0.00611575,0.000193330403,0.125,0.12188436978830847,2,9,36,8,"{'delta': 0.125, 'feature_subsampling_pct': 0.12188436978830847, 'max_depth': 2, 'min_samples': 9, 'n_trees': 36, 'window': 8}",0.18407439,0.15610966,0.21384855,0.18467753,0.0235756599,82
57,2.17924126,0.0548168789,0.00721502,0.000211774758,0.125,0.5229500625918486,3,6,25,4,"{'delta': 0.125, 'feature_subsampling_pct': 0.5229500625918486, 'max_depth': 3, 'min_samples': 6, 'n_trees': 25, 'window': 4}",0.38024838,0.3481801,0.37877059,0.36906636,0.0147811307,34
58,45.73266268,1.20808989,0.03547748,0.000757921134,0.125,0.11391095487598069,5,6,65,16,"{'delta': 0.125, 'feature_subsampling_pct': 0.11391095487598069, 'max_depth': 5, 'min_samples': 6, 'n_trees': 65, 'window': 16}",0.28486784,0.26245466,0.21722705,0.25484985,0.0281329456,72
59,11.98458338,0.150157989,0.01324224,0.000158497974,0.2,0.9672579793803275,2,5,82,16,"{'delta': 0.2, 'feature_subsampling_pct': 0.9672579793803275, 'max_depth': 2, 'min_samples': 5, 'n_trees': 82, 'window': 16}",-1.78189783,-1.30990534,-1.06523649,-1.38567989,0.297441541,99
60,1.88261604,0.0222019243,0.01461752,0.000118853728,0.15,0.2718199280353114,2,9,86,log2,"{'delta': 0.15, 'feature_subsampling_pct': 0.2718199280353114, 'max_depth': 2, 'min_samples': 9, 'n_trees': 86, 'window': 'log2'}",0.31077069,0.29500825,0.25224441,0.28600778,0.0247263383,66
61,8.49823793,0.201252071,0.02402163,0.00115899979,0.05,0.45522232012852504,3,3,86,log2,"{'delta': 0.05, 'feature_subsampling_pct': 0.45522232012852504, 'max_depth': 3, 'min_samples': 3, 'n_trees': 86, 'window': 'log2'}",0.30513481,0.29019099,0.32266538,0.30599706,0.0132716281,56
62,14.86745564,0.125149241,0.02062543,0.000367072811,inv,0.7040291651416455,4,3,46,log2,"{'delta': 'inv', 'feature_subsampling_pct': 0.7040291651416455, 'max_depth': 4, 'min_samples': 3, 'n_trees': 46, 'window': 'log2'}",0.39985239,0.38313426,0.38758542,0.39019069,0.00706939612,27
63,12.06461962,0.277145897,0.01793321,0.000672248439,0.075,0.39029568781474044,5,2,28,4,"{'delta': 0.075, 'feature_subsampling_pct': 0.39029568781474044, 'max_depth': 5, 'min_samples': 2, 'n_trees': 28, 'window': 4}",0.37337567,0.36437524,0.34551941,0.36109011,0.0116070885,38
64,1.00548569,0.0317747103,0.0079445,5.97698254e-05,0.175,0.42354203609777963,2,3,45,4,"{'delta': 0.175, 'feature_subsampling_pct': 0.42354203609777963, 'max_depth': 2, 'min_samples': 3, 'n_trees': 45, 'window': 4}",0.3000407,0.31270267,0.32653507,0.31309281,0.0108197985,54
65,1.42220283,0.0128914061,0.004776,0.000137158598,0.075,0.8803650867220933,2,5,26,sqrt,"{'delta': 0.075, 'feature_subsampling_pct': 0.8803650867220933, 'max_depth': 2, 'min_samples': 5, 'n_trees': 26, 'window': 'sqrt'}",0.32326176,0.32528449,0.32996888,0.32617171,0.00280912049,51
66,2.44479966,0.121329358,0.00621843,0.000298525641,0.125,0.8184656610700977,2,9,35,8,"{'delta': 0.125, 'feature_subsampling_pct': 0.8184656610700977, 'max_depth': 2, 'min_samples': 9, 'n_trees': 35, 'window': 8}",0.31206551,0.29627025,0.29434819,0.30089465,0.00793786991,60
67,36.46257822,0.798004352,0.05151518,0.000759684886,0.1,0.4041956411663823,5,3,85,4,"{'delta': 0.1, 'feature_subsampling_pct': 0.4041956411663823, 'max_depth': 5, 'min_samples': 3, 'n_trees': 85, 'window': 4}",0.40335192,0.38870947,0.37387527,0.38864555,0.0120338758,29
68,1.66950885,0.0140163514,0.01094699,4.97608e-05,0.05,0.2395374550549698,3,6,41,log2,"{'delta': 0.05, 'feature_subsampling_pct': 0.2395374550549698, 'max_depth': 3, 'min_samples': 6, 'n_trees': 41, 'window': 'log2'}",0.12551059,0.08530371,0.13050062,0.11377164,0.0202326856,92
69,17.42586311,0.183940949,0.04746389,0.000526795369,0.075,0.1274502249451445,5,3,89,4,"{'delta': 0.075, 'feature_subsampling_pct': 0.1274502249451445, 'max_depth': 5, 'min_samples': 3, 'n_trees': 89, 'window': 4}",0.1366714,0.13376549,0.10284508,0.12442732,0.0153069912,90
70,60.65019663,0.999847444,0.04440681,0.000637808434,0.125,0.39398611761643676,5,6,79,8,"{'delta': 0.125, 'feature_subsampling_pct': 0.39398611761643676, 'max_depth': 5, 'min_samples': 6, 'n_trees': 79, 'window': 8}",0.43983715,0.47543689,0.4738084,0.46302748,0.0164115103,12
71,40.31102093,0.378760071,0.03931729,0.000586937969,0.125,0.6606014282371002,5,7,66,4,"{'delta': 0.125, 'feature_subsampling_pct': 0.6606014282371002, 'max_depth': 5, 'min_samples': 7, 'n_trees': 66, 'window': 4}",0.51093089,0.51625578,0.51046122,0.5125493,0.00262788034,2
72,9.22675212,0.138948341,0.02565829,0.000795113923,0.2,0.22451778317602122,5,6,49,4,"{'delta': 0.2, 'feature_subsampling_pct': 0.22451778317602122, 'max_depth': 5, 'min_samples': 6, 'n_trees': 49, 'window': 4}",0.23443196,0.14463904,0.14629206,0.17512102,0.041944598,85
73,19.70097526,0.394529825,0.03274155,0.000769320959,0.05,0.4589388113003151,4,5,77,log2,"{'delta': 0.05, 'feature_subsampling_pct': 0.4589388113003151, 'max_depth': 4, 'min_samples': 5, 'n_trees': 77, 'window': 'log2'}",0.35265826,0.35832719,0.30907339,0.34001961,0.0220043273,45
74,2.84972326,0.0297498411,0.00830674,6.1813743e-05,0.15,0.2659003068982331,3,8,28,8,"{'delta': 0.15, 'feature_subsampling_pct': 0.2659003068982331, 'max_depth': 3, 'min_samples': 8, 'n_trees': 28, 'window': 8}",0.35770057,0.34562056,0.26950688,0.324276,0.0390403596,52
75,2.98572302,0.0545387695,0.01410913,0.000319679102,0.15,0.15237423595759925,3,2,53,sqrt,"{'delta': 0.15, 'feature_subsampling_pct': 0.15237423595759925, 'max_depth': 3, 'min_samples': 2, 'n_trees': 53, 'window': 'sqrt'}",0.13386099,0.1388876,0.18433338,0.15236066,0.022701075,87
76,12.12513153,0.179022051,0.01342948,0.00022068902,inv,0.9411525976057388,2,9,80,16,"{'delta': 'inv', 'feature_subsampling_pct': 0.9411525976057388, 'max_depth': 2, 'min_samples': 9, 'n_trees': 80, 'window': 16}",0.32759381,0.31522346,0.31935481,0.32072403,0.00514214465,53
77,13.73933125,0.138117191,0.02008526,0.000374934237,0.175,0.7570353849056367,4,5,45,4,"{'delta': 0.175, 'feature_subsampling_pct': 0.7570353849056367, 'max_depth': 4, 'min_samples': 5, 'n_trees': 45, 'window': 4}",0.46630189,0.48530826,0.49345952,0.48168989,0.0113784487,9
78,1.79491854,0.0109715863,0.01461514,0.000190163625,0.15,0.20814818302507798,2,7,88,sqrt,"{'delta': 0.15, 'feature_subsampling_pct': 0.20814818302507798, 'max_depth': 2, 'min_samples': 7, 'n_trees': 88, 'window': 'sqrt'}",0.15952156,0.17271014,0.17552249,0.16925139,0.00697517536,86
79,96.68152157,1.84728174,0.05417633,0.00219423146,0.175,0.8699145256099065,5,6,95,log2,"{'delta': 0.175, 'feature_subsampling_pct': 0.8699145256099065, 'max_depth': 5, 'min_samples': 6, 'n_trees': 95, 'window': 'log2'}",0.45002764,0.54684592,0.50076576,0.49921311,0.0395411398,5
80,41.56451559,0.450553971,0.02164094,0.000944522343,0.075,0.5424542876051491,4,5,52,16,"{'delta': 0.075, 'feature_subsampling_pct': 0.5424542876051491, 'max_depth': 4, 'min_samples': 5, 'n_trees': 52, 'window': 16}",0.51003627,0.4548183,0.50324834,0.48936764,0.024586738,8
81,3.25553958,0.116460607,0.01381811,0.000331682339,0.2,0.14325303177733037,3,6,53,8,"{'delta': 0.2, 'feature_subsampling_pct': 0.14325303177733037, 'max_depth': 3, 'min_samples': 6, 'n_trees': 53, 'window': 8}",0.29047087,0.18291137,0.2438217,0.23906798,0.0440394524,76
82,5.99778565,0.10409155,0.00810901,0.00024255661,0.2,0.11377408626134627,4,3,20,16,"{'delta': 0.2, 'feature_subsampling_pct': 0.11377408626134627, 'max_depth': 4, 'min_samples': 3, 'n_trees': 20, 'window': 16}",0.1995395,0.32491031,0.37283424,0.29909468,0.0730643604,61
83,4.15018741,0.148597089,0.01194509,0.000511397657,0.15,0.24664098437328674,5,9,21,sqrt,"{'delta': 0.15, 'feature_subsampling_pct': 0.24664098437328674, 'max_depth': 5, 'min_samples': 9, 'n_trees': 21, 'window': 'sqrt'}",0.15552005,0.21071178,0.07060311,0.14561165,0.0576266274,88
84,20.69597785,0.168524752,0.01808794,8.16868893e-05,0.125,0.627198023146117,4,5,43,8,"{'delta': 0.125, 'feature_subsampling_pct': 0.627198023146117, 'max_depth': 4, 'min_samples': 5, 'n_trees': 43, 'window': 8}",0.50893223,0.4960394,0.50260202,0.50252455,0.00526375948,4
85,2.27118548,0.0432475322,0.01370207,0.000430234692,0.075,0.61603033750474,2,2,80,4,"{'delta': 0.075, 'feature_subsampling_pct': 0.61603033750474, 'max_depth': 2, 'min_samples': 2, 'n_trees': 80, 'window': 4}",0.30097487,0.3072721,0.30788428,0.30537708,0.00312285121,57
86,22.15792465,0.704824625,0.02193133,0.000332005174,0.1,0.9473183278988726,4,2,52,log2,"{'delta': 0.1, 'feature_subsampling_pct': 0.9473183278988726, 'max_depth': 4, 'min_samples': 2, 'n_trees': 52, 'window': 'log2'}",0.46245551,0.42738954,0.45931481,0.44971995,0.0158419592,15
87,1.52320425,0.053956526,0.01142208,0.000606443838,0.1,0.2762120213103668,2,5,65,log2,"{'delta': 0.1, 'feature_subsampling_pct': 0.2762120213103668, 'max_depth': 2, 'min_samples': 5, 'n_trees': 65, 'window': 'log2'}",0.25367588,0.27866967,0.22478036,0.2523753,0.0220194307,74
88,7.96446991,0.102311779,0.01019613,4.43916927e-05,0.15,0.18499866468033555,4,8,27,16,"{'delta': 0.15, 'feature_subsampling_pct': 0.18499866468033555, 'max_depth': 4, 'min_samples': 8, 'n_trees': 27, 'window': 16}",0.31560383,0.23508808,0.22026232,0.25698474,0.0418895266,71
89,5.21077728,0.0977134032,0.00786153,0.000246622736,0.075,0.7134523020755108,3,3,26,8,"{'delta': 0.075, 'feature_subsampling_pct': 0.7134523020755108, 'max_depth': 3, 'min_samples': 3, 'n_trees': 26, 'window': 8}",0.42744868,0.41630568,0.42067421,0.42147619,0.00458432197,18
90,2.98930987,0.0875657962,0.0088172,0.000197496468,0.075,0.7270634488277355,2,4,48,8,"{'delta': 0.075, 'feature_subsampling_pct': 0.7270634488277355, 'max_depth': 2, 'min_samples': 4, 'n_trees': 48, 'window': 8}",0.36440003,0.36761232,0.36447909,0.36549715,0.00149600307,36
91,3.96708727,0.122489133,0.00538468,3.72792945e-05,0.05,0.8231328373463637,2,5,29,16,"{'delta': 0.05, 'feature_subsampling_pct': 0.8231328373463637, 'max_depth': 2, 'min_samples': 5, 'n_trees': 29, 'window': 16}",0.22739077,0.33382722,0.3249883,0.29540209,0.048226457,64
92,14.8036956,0.0564830359,0.02307423,0.000519849477,0.05,0.6116682553749625,4,2,55,log2,"{'delta': 0.05, 'feature_subsampling_pct': 0.6116682553749625, 'max_depth': 4, 'min_samples': 2, 'n_trees': 55, 'window': 'log2'}",0.38987039,0.38583792,0.39315846,0.38962226,0.00299374538,28
93,210.75156236,6.64195194,0.04583669,0.0014714739,0.05,0.7987716646677971,5,8,81,16,"{'delta': 0.05, 'feature_subsampling_pct': 0.7987716646677971, 'max_depth': 5, 'min_samples': 8, 'n_trees': 81, 'window': 16}",0.50051975,0.50039366,0.49443755,0.49845032,0.00283792575,6
94,1.87849553,0.0332644992,0.0090731,0.000253211781,0.125,0.4860946246375165,2,8,49,sqrt,"{'delta': 0.125, 'feature_subsampling_pct': 0.4860946246375165, 'max_depth': 2, 'min_samples': 8, 'n_trees': 49, 'window': 'sqrt'}",0.35183228,0.35119491,0.34517964,0.34940227,0.0029971692,41
95,16.78782781,0.400503919,0.01910345,0.000265916521,0.05,0.5547271352030715,5,2,32,4,"{'delta': 0.05, 'feature_subsampling_pct': 0.5547271352030715, 'max_depth': 5, 'min_samples': 2, 'n_trees': 32, 'window': 4}",0.42899729,0.41848654,0.38909953,0.41219445,0.0168849137,23
96,29.77467783,0.448069163,0.02213852,0.000488034245,0.1,0.45028151086074686,5,6,38,8,"{'delta': 0.1, 'feature_subsampling_pct': 0.45028151086074686, 'max_depth': 5, 'min_samples': 6, 'n_trees': 38, 'window': 8}",0.42993523,0.35071752,0.45062338,0.41042538,0.0430563269,24
97,5.06860065,0.0655614194,0.02033949,0.000502060204,0.05,0.38738227383137336,3,8,71,4,"{'delta': 0.05, 'feature_subsampling_pct': 0.38738227383137336, 'max_depth': 3, 'min_samples': 8, 'n_trees': 71, 'window': 4}",0.30075368,0.30731467,0.29660195,0.30155677,0.00441016454,59
98,1.27464318,0.0285235194,0.0057222,3.23373494e-05,0.075,0.6686534909528193,2,6,31,sqrt,"{'delta': 0.075, 'feature_subsampling_pct': 0.6686534909528193, 'max_depth': 2, 'min_samples': 6, 'n_trees': 31, 'window': 'sqrt'}",0.33552578,0.32289551,0.32243021,0.3269505,0.0060666103,50
99,36.54972458,0.334501505,0.02411326,0.000418229471,0.125,0.7052666104693346,5,6,42,sqrt,"{'delta': 0.125, 'feature_subsampling_pct': 0.7052666104693346, 'max_depth': 5, 'min_samples': 6, 'n_trees': 42, 'window': 'sqrt'}",0.54003197,0.52352964,0.52588999,0.5298172,0.00728692629,1
